personnel_id,snapshot_month,training_module_id,training_module_name,training_status,completion_percentage,training_completion_date,training_due_date
P0092,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-28,2025-02-28
P0093,2025-02,TRN001,Annual Security Awareness,Not Started,0,,2025-02-28
P0093,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-03,2025-02-28
P0093,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-02,2025-02-28
P0093,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-25,2025-02-28
P0094,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-08,2025-02-28
P0094,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-20,2025-02-28
P0094,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-21,2025-02-28
P0094,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-21,2025-02-28
P0095,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-06,2025-02-28
P0095,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-10,2025-02-28
P0095,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-28,2025-02-28
P0095,2025-02,TRN004,Ethics & Compliance Fundamentals,Not Started,0,,2025-02-28
P0096,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-28,2025-02-28
P0096,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-07,2025-02-28
P0096,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-19,2025-02-28
P0096,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-18,2025-02-28
P0097,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-09,2025-02-28
P0097,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-11,2025-02-28
P0097,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-11,2025-02-28
P0097,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-11,2025-02-28
P0098,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-24,2025-02-28
P0098,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-27,2025-02-28
P0098,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-14,2025-02-28
P0098,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-04,2025-02-28
P0099,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-25,2025-02-28
P0099,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-03,2025-02-28
P0099,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-03,2025-02-28
P0099,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-16,2025-02-28
P0100,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-09,2025-02-28
P0100,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-28,2025-02-28
P0100,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-20,2025-02-28
P0100,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-05,2025-02-28
P0101,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-05,2025-02-28
P0101,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-07,2025-02-28
P0101,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-21,2025-02-28
P0101,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-28,2025-02-28
P0102,2025-02,TRN001,Annual Security Awareness,Not Started,0,,2025-02-28
P0102,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-12,2025-02-28
P0102,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-28,2025-02-28
P0102,2025-02,TRN004,Ethics & Compliance Fundamentals,Not Started,0,,2025-02-28
P0103,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-21,2025-02-28
P0103,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-06,2025-02-28
P0103,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-10,2025-02-28
P0103,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-21,2025-02-28
P0104,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-04,2025-02-28
P0104,2025-02,TRN002,Data Protection Essentials (GDPR),In Progress,80,,2025-02-28
P0104,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-01,2025-02-28
P0104,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-18,2025-02-28
P0105,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-11,2025-02-28
P0105,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-26,2025-02-28
P0105,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-22,2025-02-28
P0105,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-23,2025-02-28
P0106,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-01,2025-02-28
P0106,2025-02,TRN002,Data Protection Essentials (GDPR),Not Started,0,,2025-02-28
P0106,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-22,2025-02-28
P0106,2025-02,TRN004,Ethics & Compliance Fundamentals,In Progress,43,,2025-02-28
P0107,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-06,2025-02-28
P0107,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-11,2025-02-28
P0107,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-05,2025-02-28
P0107,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-08,2025-02-28
P0108,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-25,2025-02-28
P0108,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-20,2025-02-28
P0108,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-11,2025-02-28
P0108,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-02,2025-02-28
P0109,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-12,2025-02-28
P0109,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-19,2025-02-28
P0109,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-09,2025-02-28
P0109,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-23,2025-02-28
P0110,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-18,2025-02-28
P0110,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-17,2025-02-28
P0110,2025-02,TRN003,Workplace Harassment Prevention,In Progress,37,,2025-02-28
P0110,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-09,2025-02-28
P0111,2025-02,TRN001,Annual Security Awareness,Not Started,0,,2025-02-28
P0111,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-24,2025-02-28
P0111,2025-02,TRN003,Workplace Harassment Prevention,Not Started,0,,2025-02-28
P0111,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-26,2025-02-28
P0112,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-02,2025-02-28
P0112,2025-02,TRN002,Data Protection Essentials (GDPR),Not Started,0,,2025-02-28
P0112,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-20,2025-02-28
P0112,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-18,2025-02-28
P0113,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-07,2025-02-28
P0113,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-22,2025-02-28
P0113,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-13,2025-02-28
P0113,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-16,2025-02-28
P0114,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-10,2025-02-28
P0114,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-15,2025-02-28
P0114,2025-02,TRN003,Workplace Harassment Prevention,Not Started,0,,2025-02-28
P0114,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-22,2025-02-28
P0115,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-06,2025-02-28
P0115,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-05,2025-02-28
P0115,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-15,2025-02-28
P0115,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-15,2025-02-28
P0116,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-18,2025-02-28
P0116,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-11,2025-02-28
P0116,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-08,2025-02-28
P0116,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-11,2025-02-28
P0117,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-28,2025-02-28
P0117,2025-02,TRN002,Data Protection Essentials (GDPR),Not Started,0,,2025-02-28
P0117,2025-02,TRN003,Workplace Harassment Prevention,In Progress,44,,2025-02-28
P0117,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-16,2025-02-28
P0118,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-09,2025-02-28
P0118,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-27,2025-02-28
P0118,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-24,2025-02-28
P0118,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-07,2025-02-28
P0119,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-03,2025-02-28
P0119,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-12,2025-02-28
P0119,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-05,2025-02-28
P0119,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-08,2025-02-28
P0120,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-22,2025-02-28
P0120,2025-02,TRN002,Data Protection Essentials (GDPR),Not Started,0,,2025-02-28
P0120,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-12,2025-02-28
P0120,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-28,2025-02-28
P0121,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-05,2025-02-28
P0121,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-06,2025-02-28
P0121,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-06,2025-02-28
P0121,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-07,2025-02-28
P0122,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-16,2025-02-28
P0122,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-20,2025-02-28
P0122,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-26,2025-02-28
P0122,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-21,2025-02-28
P0123,2025-02,TRN001,Annual Security Awareness,In Progress,49,,2025-02-28
P0123,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-19,2025-02-28
P0123,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-10,2025-02-28
P0123,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-12,2025-02-28
P0124,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-09,2025-02-28
P0124,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-28,2025-02-28
P0124,2025-02,TRN003,Workplace Harassment Prevention,Not Started,0,,2025-02-28
P0124,2025-02,TRN004,Ethics & Compliance Fundamentals,In Progress,78,,2025-02-28
P0125,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-18,2025-02-28
P0125,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-07,2025-02-28
P0125,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-08,2025-02-28
P0125,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-18,2025-02-28
P0126,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-08,2025-02-28
P0126,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-01,2025-02-28
P0126,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-20,2025-02-28
P0126,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-14,2025-02-28
P0127,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-27,2025-02-28
P0127,2025-02,TRN002,Data Protection Essentials (GDPR),In Progress,45,,2025-02-28
P0127,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-06,2025-02-28
P0127,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-02,2025-02-28
P0128,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-10,2025-02-28
P0128,2025-02,TRN002,Data Protection Essentials (GDPR),In Progress,37,,2025-02-28
P0128,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-19,2025-02-28
P0128,2025-02,TRN004,Ethics & Compliance Fundamentals,In Progress,88,,2025-02-28
P0129,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-10,2025-02-28
P0129,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-17,2025-02-28
P0129,2025-02,TRN003,Workplace Harassment Prevention,In Progress,33,,2025-02-28
P0129,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-06,2025-02-28
P0130,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-27,2025-02-28
P0130,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-28,2025-02-28
P0130,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-07,2025-02-28
P0130,2025-02,TRN004,Ethics & Compliance Fundamentals,In Progress,48,,2025-02-28
P0131,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-05,2025-02-28
P0131,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-05,2025-02-28
P0131,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-17,2025-02-28
P0131,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-26,2025-02-28
P0132,2025-02,TRN001,Annual Security Awareness,Not Started,0,,2025-02-28
P0132,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-26,2025-02-28
P0132,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-22,2025-02-28
P0132,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-12,2025-02-28
P0133,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-17,2025-02-28
P0133,2025-02,TRN002,Data Protection Essentials (GDPR),Not Started,0,,2025-02-28
P0133,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-12,2025-02-28
P0133,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-10,2025-02-28
P0134,2025-02,TRN001,Annual Security Awareness,In Progress,67,,2025-02-28
P0134,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-25,2025-02-28
P0134,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-24,2025-02-28
P0134,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-12,2025-02-28
P0135,2025-02,TRN001,Annual Security Awareness,Not Started,0,,2025-02-28
P0135,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-15,2025-02-28
P0135,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-02,2025-02-28
P0135,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-12,2025-02-28
P0136,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-05,2025-02-28
P0136,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-25,2025-02-28
P0136,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-11,2025-02-28
P0136,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-23,2025-02-28
P0137,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-27,2025-02-28
P0137,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-01,2025-02-28
P0137,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-26,2025-02-28
P0137,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-14,2025-02-28
P0138,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-26,2025-02-28
P0138,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-11,2025-02-28
P0138,2025-02,TRN003,Workplace Harassment Prevention,In Progress,70,,2025-02-28
P0138,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-08,2025-02-28
P0139,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-01,2025-02-28
P0139,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-02,2025-02-28
P0139,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-13,2025-02-28
P0139,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-19,2025-02-28
P0140,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-19,2025-02-28
P0140,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-16,2025-02-28
P0140,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-12,2025-02-28
P0140,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-27,2025-02-28
P0141,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-10,2025-02-28
P0141,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-09,2025-02-28
P0141,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-19,2025-02-28
P0141,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-15,2025-02-28
P0142,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-04,2025-02-28
P0142,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-03,2025-02-28
P0142,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-26,2025-02-28
P0142,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-16,2025-02-28
P0143,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-16,2025-02-28
P0143,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-25,2025-02-28
P0143,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-01,2025-02-28
P0143,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-12,2025-02-28
P0144,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-16,2025-02-28
P0144,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-24,2025-02-28
P0144,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-15,2025-02-28
P0144,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-14,2025-02-28
P0145,2025-02,TRN001,Annual Security Awareness,Not Started,0,,2025-02-28
P0145,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-18,2025-02-28
P0145,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-07,2025-02-28
P0145,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-10,2025-02-28
P0146,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-04,2025-02-28
P0146,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-02,2025-02-28
P0146,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-05,2025-02-28
P0146,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-05,2025-02-28
P0147,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-23,2025-02-28
P0147,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-17,2025-02-28
P0147,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-19,2025-02-28
P0147,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-26,2025-02-28
P0148,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-21,2025-02-28
P0148,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-05,2025-02-28
P0148,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-12,2025-02-28
P0148,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-10,2025-02-28
P0149,2025-02,TRN001,Annual Security Awareness,Not Started,0,,2025-02-28
P0149,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-05,2025-02-28
P0149,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-27,2025-02-28
P0149,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-02,2025-02-28
P0150,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-18,2025-02-28
P0150,2025-02,TRN002,Data Protection Essentials (GDPR),Not Started,0,,2025-02-28
P0150,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-26,2025-02-28
P0150,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-21,2025-02-28
P0151,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-16,2025-02-28
P0151,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-12,2025-02-28
P0151,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-19,2025-02-28
P0151,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-15,2025-02-28
P0152,2025-02,TRN001,Annual Security Awareness,In Progress,26,,2025-02-28
P0152,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-16,2025-02-28
P0152,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-27,2025-02-28
P0152,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-11,2025-02-28
P0153,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-08,2025-02-28
P0153,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-18,2025-02-28
P0153,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-23,2025-02-28
P0153,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-25,2025-02-28
P0154,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-11,2025-02-28
P0154,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-18,2025-02-28
P0154,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-25,2025-02-28
P0154,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-23,2025-02-28
P0155,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-18,2025-02-28
P0155,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-24,2025-02-28
P0155,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-17,2025-02-28
P0155,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-11,2025-02-28
P0156,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-13,2025-02-28
P0156,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-09,2025-02-28
P0156,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-25,2025-02-28
P0156,2025-02,TRN004,Ethics & Compliance Fundamentals,In Progress,51,,2025-02-28
P0157,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-09,2025-02-28
P0157,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-11,2025-02-28
P0157,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-22,2025-02-28
P0157,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-14,2025-02-28
P0158,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-16,2025-02-28
P0158,2025-02,TRN002,Data Protection Essentials (GDPR),In Progress,22,,2025-02-28
P0158,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-25,2025-02-28
P0158,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-06,2025-02-28
P0159,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-08,2025-02-28
P0159,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-17,2025-02-28
P0159,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-28,2025-02-28
P0159,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-08,2025-02-28
P0160,2025-02,TRN001,Annual Security Awareness,Not Started,0,,2025-02-28
P0160,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-09,2025-02-28
P0160,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-12,2025-02-28
P0160,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-27,2025-02-28
P0161,2025-02,TRN001,Annual Security Awareness,In Progress,67,,2025-02-28
P0161,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-07,2025-02-28
P0161,2025-02,TRN003,Workplace Harassment Prevention,In Progress,43,,2025-02-28
P0161,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-22,2025-02-28
P0162,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-25,2025-02-28
P0162,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-26,2025-02-28
P0162,2025-02,TRN003,Workplace Harassment Prevention,Not Started,0,,2025-02-28
P0162,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-23,2025-02-28
P0163,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-27,2025-02-28
P0163,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-18,2025-02-28
P0163,2025-02,TRN003,Workplace Harassment Prevention,In Progress,52,,2025-02-28
P0163,2025-02,TRN004,Ethics & Compliance Fundamentals,Not Started,0,,2025-02-28
P0164,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-24,2025-02-28
P0164,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-01,2025-02-28
P0164,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-08,2025-02-28
P0164,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-09,2025-02-28
P0165,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-20,2025-02-28
P0165,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-01,2025-02-28
P0165,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-01,2025-02-28
P0165,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-13,2025-02-28
P0166,2025-02,TRN001,Annual Security Awareness,Completed,100,2025-02-24,2025-02-28
P0166,2025-02,TRN002,Data Protection Essentials (GDPR),Completed,100,2025-02-10,2025-02-28
P0166,2025-02,TRN003,Workplace Harassment Prevention,Completed,100,2025-02-11,2025-02-28
P0166,2025-02,TRN004,Ethics & Compliance Fundamentals,Completed,100,2025-02-07,2025-02-28
